Region,Route_Type,Transport_Mode,Weather,Traffic_Level,Distance_km,Shipment_Volume,Fuel_Price_INR_L,Delivery_Time_hr,Expected_Time_hr,Delay_hr,Transport_Cost_INR
South,Local,Van,Clear,Medium,31.3,49,98.74,3.61,3.57,0.0,160.44
West,Regional,Van,Clear,High,68.8,48,100.75,7.34,4.61,3.21,338.58
North,Intercity,Bike,Clear,Medium,112.1,42,95.7,7.09,5.76,1.78,453.29
West,Local,Bike,Cloudy,Low,87.5,35,105.28,6.93,5.0,2.52,408.93
South,Regional,Bike,Rain,High,124.4,56,97.12,9.61,6.24,3.47,506.26
South,Intercity,Truck,Clear,High,107.4,35,94.27,10.41,5.56,5.05,527.04
South,Intercity,Van,Clear,High,19.1,49,87.94,7.07,3.22,4.34,183.65
East,Local,Van,Clear,Low,151.7,36,94.69,7.72,6.81,1.07,626.33
East,Intercity,Van,Cloudy,Medium,63.8,49,94.32,6.73,4.48,2.08,363.55
West,Regional,Bike,Cloudy,High,49.7,40,100.8,6.99,3.99,2.84,313.34
West,Local,Truck,Clear,High,149.0,46,98.31,9.49,6.83,2.75,646.97
North,Regional,Truck,Clear,Low,119.2,60,90.1,8.57,6.14,1.98,525.12
North,Intercity,Bike,Clear,Low,160.3,45,96.86,9.41,7.14,2.22,600.93
West,Regional,Van,Clear,Medium,98.5,46,99.36,6.62,5.42,1.58,435.09
East,Local,Truck,Clear,High,68.2,47,103.64,5.78,4.58,0.44,349.81
South,Regional,Truck,Rain,Medium,92.2,40,100.44,8.79,5.18,4.15,451.98
West,Local,Van,Clear,Medium,44.4,41,99.8,4.83,3.85,1.37,256.82
North,Local,Van,Cloudy,Low,35.3,44,96.3,4.27,3.63,0.48,263.41
East,Local,Bike,Clear,Medium,58.0,46,97.94,5.96,4.28,1.87,290.73
West,Local,Truck,Clear,High,186.1,42,102.25,12.03,7.83,4.2,773.01
West,Local,Bike,Cloudy,Medium,61.5,43,89.34,5.65,4.35,1.73,361.57
East,Local,Truck,Cloudy,High,27.1,48,94.25,5.84,3.44,2.75,240.91
West,Regional,Van,Rain,High,77.6,37,92.14,8.91,4.74,3.67,376.23
East,Local,Van,Clear,Low,61.0,37,97.9,4.27,4.28,0.2,301.68
South,Local,Van,Clear,Medium,153.2,49,102.15,9.29,6.98,2.24,629.28
East,Intercity,Bike,Cloudy,Low,179.0,45,93.02,10.98,7.66,3.35,695.16
East,Regional,Bike,Clear,High,66.4,47,84.05,7.66,4.53,2.88,319.69
East,Regional,Bike,Clear,Medium,98.4,44,93.94,6.23,5.4,1.44,474.84
West,Local,Bike,Clear,Medium,103.1,53,100.57,6.72,5.62,1.46,465.88
West,Local,Truck,Clear,High,82.6,36,98.69,6.97,4.87,1.84,364.35
East,Local,Van,Rain,Medium,74.2,47,98.14,7.31,4.75,2.09,437.64
West,Local,Bike,Clear,High,47.7,34,94.6,6.04,3.88,2.03,278.36
North,Local,Truck,Clear,Medium,24.4,36,89.6,5.67,3.24,2.58,161.05
North,Local,Truck,Clear,Low,47.6,46,98.58,4.82,3.99,0.91,283.02
West,Local,Truck,Clear,Medium,81.0,48,91.83,6.58,4.95,2.07,417.01
West,Local,Truck,Clear,High,32.9,49,106.92,6.78,3.61,3.45,310.71
East,Regional,Bike,Clear,Medium,95.6,41,98.85,7.53,5.29,2.58,399.4
South,Local,Van,Clear,High,88.4,54,93.1,8.59,5.22,3.49,462.51
West,Local,Truck,Cloudy,High,61.1,46,92.94,7.4,4.37,2.55,392.77
North,Regional,Van,Clear,Low,72.4,42,95.54,5.49,4.65,0.77,343.15
East,Regional,Bike,Clear,High,36.7,44,94.8,5.26,3.67,1.96,227.23
West,Local,Truck,Rain,Low,132.9,49,101.58,8.08,6.41,1.65,559.72
North,Intercity,Bike,Cloudy,Low,131.7,42,96.93,9.35,6.31,3.21,555.33
North,Regional,Bike,Clear,Low,40.9,49,92.34,5.79,3.84,1.84,253.48
South,Local,Van,Clear,High,41.6,48,105.45,7.22,3.84,3.02,288.4
East,Intercity,Van,Clear,Medium,47.9,50,96.25,7.22,4.04,3.14,325.28
East,Intercity,Van,Cloudy,Low,115.2,43,99.84,9.36,5.86,3.61,488.44
South,Local,Bike,Rain,Medium,102.9,40,92.96,7.49,5.48,1.78,391.61
South,Local,Truck,Cloudy,Medium,148.1,43,97.82,8.66,6.78,1.8,641.32
East,Intercity,Van,Clear,Low,157.1,42,97.56,10.36,7.02,3.01,667.43
East,Regional,Bike,Cloudy,High,31.0,38,86.55,6.34,3.45,3.28,220.72
West,Local,Truck,Clear,High,112.9,42,106.08,8.78,5.78,2.89,511.97
West,Local,Truck,Clear,Medium,153.7,43,102.45,9.61,6.93,3.18,668.2
South,Local,Truck,Clear,High,69.7,48,94.01,7.51,4.63,3.42,428.04
West,Regional,Truck,Rain,Medium,83.9,48,90.49,9.33,5.03,4.28,436.02
North,Regional,Van,Clear,High,76.8,37,97.74,8.5,4.72,3.42,364.03
West,Local,Van,Cloudy,Medium,78.7,47,96.43,7.1,4.87,1.5,373.27
West,Regional,Bike,Clear,Medium,132.7,43,97.78,9.22,6.35,2.36,561.09
North,Regional,Van,Clear,Low,205.0,36,96.96,11.11,8.3,2.33,874.35
South,Local,Van,Clear,High,173.6,38,98.53,10.16,7.44,3.2,705.11
North,Local,Van,Clear,Medium,62.8,39,103.24,6.29,4.35,1.98,330.93
West,Regional,Truck,Cloudy,Low,98.6,46,98.84,6.87,5.42,1.59,457.39
South,Intercity,Van,Clear,Low,52.4,53,90.75,7.02,4.2,2.05,342.3
West,Regional,Bike,Cloudy,Medium,55.7,42,102.81,5.43,4.18,0.83,370.81
North,Regional,Bike,Cloudy,Medium,81.8,46,104.2,7.38,4.95,2.74,411.68
North,Local,Van,Rain,Medium,54.8,46,111.76,6.0,4.19,1.9,313.71
West,Regional,Bike,Clear,High,59.8,43,90.38,7.28,4.3,2.92,315.83
East,Regional,Truck,Clear,Low,97.3,37,97.21,7.3,5.29,2.2,379.03
East,Local,Van,Clear,Medium,112.1,44,85.59,6.58,5.78,1.37,525.17
North,Local,Van,Rain,Low,110.4,50,98.77,8.29,5.79,2.42,507.6
North,Local,Van,Rain,High,111.0,52,93.26,9.05,5.83,3.24,519.32
East,Local,Truck,Clear,High,38.4,45,105.62,6.73,3.73,3.07,242.08
East,Local,Van,Cloudy,Medium,53.1,52,92.13,5.95,4.21,2.58,292.28
West,Local,Van,Clear,Medium,86.9,41,87.55,6.94,5.04,1.16,397.38
West,Local,Van,Cloudy,Medium,149.9,65,93.64,8.94,7.05,2.14,683.33
East,Local,Van,Clear,Medium,265.7,49,86.12,12.7,10.13,2.53,1012.25
West,Intercity,Truck,Cloudy,High,100.8,43,99.76,9.45,5.45,4.2,552.82
West,Regional,Truck,Clear,Medium,125.8,46,85.67,9.59,6.18,3.18,577.28
South,Regional,Van,Cloudy,Medium,35.7,48,96.14,6.95,3.68,3.26,199.03
West,Intercity,Truck,Cloudy,Medium,124.0,41,85.61,9.2,6.08,3.37,547.81
North,Regional,Truck,Cloudy,High,227.7,44,94.4,14.31,9.02,6.39,891.29
West,Local,Truck,Clear,Medium,53.0,43,104.22,4.42,4.11,0.59,239.08
West,Regional,Truck,Clear,Low,61.0,47,97.8,5.45,4.38,0.78,401.21
East,Regional,Van,Clear,Medium,134.9,43,91.68,8.37,6.41,1.82,603.34
North,Regional,Van,Clear,High,86.3,44,95.84,7.23,5.06,2.02,433.14
West,Regional,Van,Clear,Low,23.0,47,96.09,3.57,3.31,0.0,205.07
West,Local,Truck,Rain,Low,63.2,51,98.36,6.95,4.48,2.35,307.56
South,Local,Bike,Clear,Low,178.6,52,89.17,9.15,7.72,1.68,709.47
West,Local,Truck,Clear,Medium,72.1,51,98.96,6.89,4.73,1.71,416.19
West,Regional,Truck,Clear,Medium,72.1,43,82.48,7.55,4.65,3.26,339.78
South,Regional,Bike,Clear,Medium,130.3,46,92.85,8.81,6.31,2.67,470.16
East,Local,Truck,Cloudy,Medium,102.8,39,93.56,8.18,5.47,2.45,473.64
West,Intercity,Bike,Clear,Medium,69.8,46,99.17,7.08,4.61,2.41,348.15
South,Regional,Van,Rain,Medium,58.6,32,96.11,6.26,4.16,2.65,315.12
North,Local,Truck,Clear,High,333.9,50,88.97,17.27,12.05,5.48,1302.06
East,Local,Bike,Rain,Medium,162.8,39,91.08,9.57,7.15,2.42,686.14
North,Local,Truck,Rain,High,111.0,34,96.99,8.79,5.65,3.06,516.34
North,Local,Truck,Clear,Medium,114.9,38,95.6,7.79,5.8,2.02,564.98
South,Local,Van,Rain,Low,79.0,39,93.1,6.12,4.8,1.14,331.73
West,Local,Bike,Clear,Medium,102.2,31,93.6,6.51,5.37,0.41,469.21
South,Local,Van,Cloudy,Medium,74.3,45,99.48,6.78,4.73,2.77,396.88
South,Local,Van,Clear,Medium,50.1,43,93.41,5.65,4.03,1.68,245.55
South,Intercity,Truck,Rain,Low,104.4,37,95.56,8.49,5.49,3.13,433.71
South,Local,Van,Rain,Low,70.6,32,106.85,5.98,4.5,1.46,328.15
East,Regional,Van,Cloudy,High,107.4,46,88.88,9.84,5.67,3.91,462.7
West,Local,Van,Cloudy,Low,118.6,54,86.74,8.05,6.06,1.92,555.54
North,Intercity,Van,Clear,High,110.5,61,99.92,11.21,5.9,4.75,490.44
North,Local,Truck,Clear,Low,47.7,35,92.61,5.72,3.89,2.63,259.61
West,Local,Bike,Clear,Medium,66.2,38,94.41,6.39,4.43,1.53,312.19
North,Intercity,Truck,Clear,Medium,71.4,48,92.09,6.86,4.68,1.82,419.51
West,Intercity,Van,Cloudy,Medium,143.0,58,94.7,10.9,6.78,3.96,619.65
North,Intercity,Truck,Clear,Medium,139.0,41,103.99,9.97,6.5,3.92,605.97
South,Local,Van,Rain,Low,55.0,38,100.01,5.5,4.12,1.39,299.4
North,Local,Van,Cloudy,Low,37.8,36,100.31,4.68,3.62,0.63,287.67
West,Regional,Truck,Cloudy,Medium,272.5,40,88.92,14.92,10.23,5.13,1033.34
West,Intercity,Bike,Clear,Medium,108.1,59,90.24,9.02,5.82,3.46,537.55
West,Regional,Truck,Rain,High,34.7,43,81.8,6.92,3.6,3.5,257.12
West,Regional,Van,Rain,High,60.4,34,91.95,8.41,4.23,4.43,311.56
West,Local,Bike,Clear,High,146.2,48,100.78,9.02,6.77,3.08,706.32
East,Regional,Van,Cloudy,High,237.1,43,98.58,13.76,9.27,5.26,897.12
East,Local,Truck,Cloudy,Medium,216.1,43,94.89,11.59,8.68,2.67,861.55
North,Local,Bike,Clear,Low,105.6,42,95.89,6.41,5.58,1.4,429.17
West,Regional,Van,Clear,High,85.2,47,92.56,8.63,5.06,3.7,445.31
North,Regional,Van,Clear,Medium,44.9,41,97.02,5.13,3.87,1.44,329.31
West,Local,Van,Clear,Medium,89.3,40,99.83,8.01,5.1,2.32,481.48
West,Local,Bike,Clear,Low,48.7,38,87.92,3.3,3.94,0.0,315.29
East,Regional,Truck,Clear,Medium,66.6,48,97.5,6.61,4.54,1.78,358.27
East,Local,Truck,Clear,Medium,134.9,44,100.66,8.95,6.42,2.83,585.93
South,Regional,Truck,Clear,High,74.0,33,93.92,8.16,4.6,3.94,319.98
East,Local,Truck,Rain,Medium,71.2,42,99.5,7.28,4.61,1.94,448.27
South,Regional,Bike,Clear,Medium,82.6,53,110.07,7.06,5.04,2.01,422.05
South,Regional,Truck,Rain,High,294.3,39,95.48,16.77,10.83,6.33,1122.71
South,Local,Bike,Clear,Low,42.0,38,97.97,4.1,3.76,0.28,297.58
South,Local,Bike,Clear,Medium,99.6,42,92.31,7.8,5.41,2.64,416.39
South,Local,Van,Clear,Low,205.8,43,96.91,10.87,8.39,2.6,839.27
North,Local,Van,Clear,Medium,82.4,53,98.3,7.31,5.04,2.39,402.5
East,Intercity,Truck,Clear,High,161.2,49,96.97,11.1,7.2,3.8,713.53
South,Local,Van,Cloudy,Low,36.2,43,90.9,4.59,3.64,0.52,238.76
West,Intercity,Van,Clear,High,75.5,43,97.03,8.12,4.74,2.98,326.16
East,Local,Van,Cloudy,Low,51.9,48,103.31,4.63,4.13,0.74,303.3
East,Regional,Truck,Cloudy,High,81.9,37,98.24,8.62,4.86,3.76,446.51
South,Regional,Van,Clear,High,82.9,39,100.81,7.55,4.91,2.59,399.47
North,Regional,Van,Clear,High,87.9,48,94.81,8.67,5.14,3.38,449.79
South,Regional,Bike,Cloudy,Low,134.2,43,99.75,7.73,6.39,1.23,536.53
North,Local,Truck,Clear,High,17.7,47,97.4,6.58,3.17,3.78,195.23
West,Local,Van,Clear,Medium,58.8,38,91.25,5.06,4.23,0.72,292.7
East,Intercity,Bike,Rain,Medium,95.8,46,97.59,9.07,5.34,3.26,468.35
West,Intercity,Bike,Clear,High,23.8,39,91.04,6.7,3.26,3.7,189.72
North,Intercity,Van,Cloudy,Low,119.4,51,92.84,8.53,6.05,2.4,556.34
North,Local,Van,Rain,High,58.1,40,96.95,7.91,4.23,3.69,352.89
West,Regional,Van,Clear,Low,76.3,46,97.49,5.65,4.8,1.42,406.27
North,Intercity,Truck,Clear,Medium,137.5,50,90.05,11.06,6.55,4.5,616.65
West,Local,Bike,Clear,Medium,165.1,45,101.27,9.25,7.27,2.08,647.14
East,Local,Van,Clear,Low,121.4,40,98.86,6.93,6.0,0.52,533.25
West,Regional,Truck,Clear,Low,41.2,47,92.48,5.34,3.82,1.44,257.65
East,Regional,Van,Cloudy,Low,118.1,41,88.31,8.6,5.92,2.89,506.32
West,Intercity,Van,Clear,Medium,122.4,45,95.28,8.81,6.08,2.19,525.9
North,Local,Van,Clear,Medium,109.6,50,93.77,7.15,5.77,1.45,463.93
West,Intercity,Van,Rain,Medium,179.6,38,96.57,11.83,7.61,4.25,662.46
North,Local,Truck,Cloudy,Low,89.2,35,94.18,5.89,5.05,0.85,408.79
West,Local,Van,Cloudy,Low,175.9,46,85.96,10.77,7.59,3.55,724.48
West,Local,Truck,Clear,Medium,175.3,45,94.06,9.78,7.56,2.34,687.7
South,Intercity,Bike,Cloudy,Low,124.3,39,94.47,9.14,6.07,3.59,534.23
North,Regional,Bike,Clear,High,100.4,53,99.17,8.65,5.54,2.77,530.35
South,Regional,Bike,Clear,High,109.9,54,92.51,8.23,5.82,2.46,530.58
North,Local,Van,Clear,Medium,200.5,51,104.39,10.83,8.32,2.54,875.58
South,Intercity,Van,Rain,Medium,149.8,46,86.44,11.58,6.85,4.35,642.89
East,Local,Truck,Clear,High,44.3,40,102.56,6.15,3.84,2.64,324.09
West,Intercity,Van,Clear,Low,106.1,40,94.88,8.76,5.57,4.0,453.8
North,Regional,Truck,Clear,Low,50.2,46,100.3,6.5,4.07,2.43,285.19
North,Local,Bike,Clear,Low,57.1,44,96.4,5.49,4.24,1.43,211.41
West,Regional,Truck,Cloudy,High,68.2,34,101.7,7.55,4.45,3.13,402.71
North,Local,Truck,Cloudy,Low,34.0,38,94.06,4.07,3.53,0.29,299.0
North,Regional,Truck,Cloudy,Medium,48.3,39,90.51,6.04,3.94,1.46,274.92
South,Regional,Truck,Clear,High,184.9,43,103.1,11.97,7.81,3.92,763.27
North,Local,Truck,Clear,High,56.9,48,95.43,7.21,4.27,2.45,305.01
East,Intercity,Van,Clear,Medium,134.6,57,97.11,8.43,6.54,2.48,604.15
East,Local,Bike,Clear,Low,93.7,44,102.17,6.17,5.26,0.86,474.35
West,Regional,Bike,Clear,High,115.3,48,90.84,9.05,5.91,3.02,447.09
North,Intercity,Truck,Cloudy,Medium,118.0,49,98.98,9.48,5.99,3.8,557.76
West,Regional,Van,Clear,Low,47.0,54,93.05,6.41,4.06,1.96,276.82
